time_s	mv
1.104	-0.251928
1.105	-0.324211
1.106	-0.282686
1.107	-0.343977
1.108	-0.531204
1.109	-0.543798
1.11	-0.293749
1.111	-0.086414
1.112	-0.093337
1.113	-0.17091
1.114	-0.189946
1.115	-0.156591
1.116	-0.069459
1.117	0.08889
1.118	0.205601
1.119	0.140833
1.12	-0.004799
1.121	-0.047076
1.122	-0.048994
1.123	-0.165265
1.124	-0.315994
1.125	-0.276871
1.126	-0.022629
1.127	0.201284
1.128	0.235552
1.129	0.219674
1.13	0.246224
1.131	0.171893
1.132	-0.040309
1.133	-0.219233
1.134	-0.272294
1.135	-0.265114
1.136	-0.251202
1.137	-0.213995
1.138	-0.188161
1.139	-0.244344
1.14	-0.306209
1.141	-0.248417
1.142	-0.157895
1.143	-0.193185
1.144	-0.281769
1.145	-0.210506
1.146	0.039203
1.147	0.22923
1.148	0.224969
1.149	0.192359
1.15	0.228527
1.151	0.173733
1.152	-0.025833
1.153	-0.204427
1.154	-0.265921
1.155	-0.270852
1.156	-0.269909
1.157	-0.240417
1.158	-0.207082
1.159	-0.242799
1.16	-0.290067
1.161	-0.237298
1.162	-0.162109
1.163	-0.201704
1.164	-0.278134
1.165	-0.194571
1.166	0.052417
1.167	0.229503
1.168	0.219698
1.169	0.19464
1.17	0.239382
1.171	0.186709
1.172	-0.01033
1.173	-0.18136
1.174	-0.2442
1.175	-0.296687
1.176	-0.436525
1.177	-0.637568
1.178	-0.806755
1.179	-0.864156
1.18	-0.742396
1.181	-0.465318
1.182	-0.222685
1.183	-0.170485
1.184	-0.211632
1.185	-0.133379
1.186	0.078825
1.187	0.206347
1.188	0.154242
1.189	0.119081
1.19	0.198105
1.191	0.202617
1.192	0.043367
1.193	-0.12976
1.194	-0.216648
1.195	-0.269514
1.196	-0.32837
1.197	-0.347233
1.198	-0.321122
1.199	-0.317964
1.2	-0.312867
1.201	-0.228296
1.202	-0.140904
1.203	-0.170907
1.204	-0.241831
1.205	-0.171853
1.206	0.038813
1.207	0.176258
1.208	0.152852
1.209	0.158063
1.21	0.269224
1.211	0.279279
1.212	0.096771
1.213	-0.114611
1.214	-0.240008
1.215	-0.323346
1.216	-0.396306
1.217	-0.401825
1.218	-0.335387
1.219	-0.289664
1.22	-0.269013
1.221	-0.197663
1.222	-0.130141
1.223	-0.169341
1.224	-0.239223
1.225	-0.175079
1.226	-0.011088
1.227	-0.001422
1.228	-0.221198
1.229	-0.36281
1.23	-0.226522
1.231	-0.037522
1.232	-0.006907
1.233	-0.069788
1.234	-0.140961
1.235	-0.236043
1.236	-0.338874
1.237	-0.360052
1.238	-0.290484
1.239	-0.236743
1.24	-0.2167
1.241	-0.159188
1.242	-0.115857
1.243	-0.180682
1.244	-0.259247
1.245	-0.147624
1.246	0.179407
1.247	0.482809
1.248	0.565974
1.249	0.537973
1.25	0.52725
