animal_id,time_ms,voltage_mv
157,134.0,-0.01268
157,135.0,-0.015542
157,136.0,-0.019073
157,137.0,-0.02321
157,138.0,-0.028266
157,139.0,-0.034504
157,140.0,-0.041523
157,141.0,-0.047966
157,142.0,-0.051957
157,143.0,-0.052123
157,144.0,-0.048499
157,145.0,-0.042576
157,146.0,-0.036402
157,147.0,-0.031435
157,148.0,-0.028033
157,149.0,-0.025761
157,150.0,-0.024063
157,151.0,-0.022725
157,152.0,-0.021921
157,153.0,-0.021931
157,154.0,-0.022824
157,155.0,-0.024287
157,156.0,-0.025642
157,157.0,-0.026027
157,158.0,-0.024842
157,159.0,-0.02221
157,160.0,-0.018884
157,161.0,-0.015379
157,162.0,-0.011166
157,163.0,-0.004991
157,164.0,0.003726
157,165.0,0.013642
157,166.0,0.021523
157,167.0,0.023659
157,168.0,0.017892
157,169.0,0.00504
157,170.0,-0.011319
157,171.0,-0.026658
157,172.0,-0.037671
157,173.0,-0.043394
157,174.0,-0.044831
157,175.0,-0.043777
157,176.0,-0.041844
157,177.0,-0.040118
157,178.0,-0.039309
157,179.0,-0.039938
157,180.0,-0.042238
157,181.0,-0.045852
157,182.0,-0.049668
157,183.0,-0.052113
157,184.0,-0.051858
157,185.0,-0.04849
157,186.0,-0.042731
157,187.0,-0.036086
157,188.0,-0.030127
157,189.0,-0.025786
157,190.0,-0.023048
157,191.0,-0.021245
157,192.0,-0.019717
157,193.0,-0.018375
157,194.0,-0.017755
157,195.0,-0.018552
157,196.0,-0.020839
157,197.0,-0.023242
157,198.0,-0.02233
157,199.0,-0.01259
201,-100.0,-0.063963
201,-99.0,-0.050294
201,-98.0,-0.034892
201,-97.0,-0.023669
201,-96.0,-0.018957
201,-95.0,-0.019147
201,-94.0,-0.020704
201,-93.0,-0.02084
201,-92.0,-0.018981
201,-91.0,-0.016309
201,-90.0,-0.014209
201,-89.0,-0.013149
201,-88.0,-0.012889
201,-87.0,-0.013642
201,-86.0,-0.016847
201,-85.0,-0.024454
201,-84.0,-0.037012
201,-83.0,-0.052108
201,-82.0,-0.064726
201,-81.0,-0.069706
201,-80.0,-0.064779
201,-79.0,-0.052057
201,-78.0,-0.036863
201,-77.0,-0.024686
201,-76.0,-0.018356
201,-75.0,-0.017186
201,-74.0,-0.018302
201,-73.0,-0.01894
201,-72.0,-0.018073
201,-71.0,-0.016396
201,-70.0,-0.015057
201,-69.0,-0.014417
201,-68.0,-0.013922
201,-67.0,-0.013056
201,-66.0,-0.012418
201,-65.0,-0.013711
201,-64.0,-0.018376
201,-63.0,-0.025867
201,-62.0,-0.033042
201,-61.0,-0.03541
201,-60.0,-0.029653
201,-59.0,-0.015991
201,-58.0,0.001155
201,-57.0,0.014922
201,-56.0,0.019436
201,-55.0,0.012932
201,-54.0,-0.00147
201,-53.0,-0.017794
201,-52.0,-0.030594
201,-51.0,-0.037432
201,-50.0,-0.039032
201,-49.0,-0.037581
201,-48.0,-0.034983
201,-47.0,-0.03248
201,-46.0,-0.031423
201,-45.0,-0.033727
201,-44.0,-0.040926
201,-43.0,-0.052419
201,-42.0,-0.06462
201,-41.0,-0.072239
201,-40.0,-0.071184
201,-39.0,-0.061142
201,-38.0,-0.045948
201,-37.0,-0.031432
201,-36.0,-0.022144
201,-35.0,-0.01912
201,-34.0,-0.020005
201,-33.0,-0.02123
201,-32.0,-0.020534
201,-31.0,-0.01803
201,-30.0,-0.015291
201,-29.0,-0.013562
201,-28.0,-0.012783
201,-27.0,-0.012278
201,-26.0,-0.01233
201,-25.0,-0.014951
201,-24.0,-0.022648
201,-23.0,-0.03591
201,-22.0,-0.05149
201,-21.0,-0.063306
201,-20.0,-0.065772
201,-19.0,-0.057351
201,-18.0,-0.041765
201,-17.0,-0.025894
201,-16.0,-0.015756
201,-15.0,-0.013261
201,-14.0,-0.015831
201,-13.0,-0.018868
201,-12.0,-0.019132
201,-11.0,-0.016598
201,-10.0,-0.013806
201,-9.0,-0.013647
201,-8.0,-0.017223
201,-7.0,-0.022497
201,-6.0,-0.023248
201,-5.0,-0.008217
201,-4.0,0.037275
201,-3.0,0.123122
201,-2.0,0.239593
201,-1.0,0.347846
201,0.0,0.394855
201,1.0,0.352184
201,2.0,0.243536
201,3.0,0.128516
201,4.0,0.05788
201,5.0,0.044334
201,6.0,0.068078
201,7.0,0.100213
201,8.0,0.120707
201,9.0,0.12292
201,10.0,0.109671
201,11.0,0.087828
201,12.0,0.064505
201,13.0,0.044666
201,14.0,0.029579
201,15.0,0.016685
201,16.0,0.001606
201,17.0,-0.018339
201,18.0,-0.041368
201,19.0,-0.061397
201,20.0,-0.071473
201,21.0,-0.068305
201,22.0,-0.054633
201,23.0,-0.03762
201,24.0,-0.02452
201,25.0,-0.018767
201,26.0,-0.018968
201,27.0,-0.020999
201,28.0,-0.021327
201,29.0,-0.019093
201,30.0,-0.01579
201,31.0,-0.013297
201,32.0,-0.012221
201,33.0,-0.011958
201,34.0,-0.012223
201,35.0,-0.014336
201,36.0,-0.020752
201,37.0,-0.032894
201,38.0,-0.048994
201,39.0,-0.063902
201,40.0,-0.071509
201,41.0,-0.068395
201,42.0,-0.05607
201,43.0,-0.040067
201,44.0,-0.026588
201,45.0,-0.019159
201,46.0,-0.017398
201,47.0,-0.018317
201,48.0,-0.01887
201,49.0,-0.01783
201,50.0,-0.015885
201,51.0,-0.014311
201,52.0,-0.013587
201,53.0,-0.013151
201,54.0,-0.012388
201,55.0,-0.011808
201,56.0,-0.013127
201,57.0,-0.017916
201,58.0,-0.02581
201,59.0,-0.033771
201,60.0,-0.037243
201,61.0,-0.032667
201,62.0,-0.019831
201,63.0,-0.002602
201,64.0,0.012532
201,65.0,0.019522
201,66.0,0.015787
201,67.0,0.003378
201,68.0,-0.012431
201,69.0,-0.026117
201,70.0,-0.0345
201,71.0,-0.037466
201,72.0,-0.036775
201,73.0,-0.034384
201,74.0,-0.031774
201,75.0,-0.030428
201,76.0,-0.032265
201,77.0,-0.038899
201,78.0,-0.050034
201,79.0,-0.062482
201,80.0,-0.071148
201,81.0,-0.071758
201,82.0,-0.06348
201,83.0,-0.049485
201,84.0,-0.035097
201,85.0,-0.024846
201,86.0,-0.020289
201,87.0,-0.019829
201,88.0,-0.020416
201,89.0,-0.01977
201,90.0,-0.017561
201,91.0,-0.014904
201,92.0,-0.012928
201,93.0,-0.011815
201,94.0,-0.011168
201,95.0,-0.011258
201,96.0,-0.013736
201,97.0,-0.020777
201,98.0,-0.033017
201,99.0,-0.047898
201,100.0,-0.060124
201,101.0,-0.0644
201,102.0,-0.058651
201,103.0,-0.045393
201,104.0,-0.030325
201,105.0,-0.019113
201,106.0,-0.014421
201,107.0,-0.015005
201,108.0,-0.017252
201,109.0,-0.017931
201,110.0,-0.016194
201,111.0,-0.013629
201,112.0,-0.012681
201,113.0,-0.014699
201,114.0,-0.018524
201,115.0,-0.019499
201,116.0,-0.008698
201,117.0,0.026133
201,118.0,0.094883
201,119.0,0.194025
201,120.0,0.297477
201,121.0,0.362751
201,122.0,0.356707
201,123.0,0.282341
201,124.0,0.179471
201,125.0,0.09637
201,126.0,0.059116
201,127.0,0.063322
201,128.0,0.087296
201,129.0,0.109607
201,130.0,0.118517
201,131.0,0.11228
201,132.0,0.095265
201,133.0,0.07388
201,134.0,0.053519
201,135.0,0.036585
201,136.0,0.021958
201,137.0,0.006369
201,138.0,-0.012753
201,139.0,-0.034625
201,140.0,-0.054643
201,141.0,-0.066798
201,142.0,-0.067435
201,143.0,-0.057695
201,144.0,-0.042924
201,145.0,-0.02958
201,146.0,-0.021761
201,147.0,-0.019597
201,148.0,-0.020258
201,149.0,-0.020501
201,150.0,-0.018832
201,151.0,-0.015884
201,152.0,-0.013165
201,153.0,-0.011555
201,154.0,-0.010964
201,155.0,-0.01127
201,156.0,-0.013398
201,157.0,-0.019219
201,158.0,-0.030009
201,159.0,-0.044595
201,160.0,-0.058894
201,161.0,-0.067639
201,162.0,-0.067322
201,163.0,-0.05828
201,164.0,-0.044481
201,165.0,-0.031218
201,166.0,-0.022292
201,167.0,-0.018455
201,168.0,-0.017859
201,169.0,-0.017897
201,170.0,-0.016993
201,171.0,-0.015162
201,172.0,-0.013257
201,173.0,-0.011864
201,174.0,-0.010931
201,175.0,-0.010311
201,176.0,-0.010487
201,177.0,-0.012596
201,178.0,-0.017535
201,179.0,-0.024774
201,180.0,-0.031879
201,181.0,-0.035312
201,182.0,-0.032187
201,183.0,-0.021984
201,184.0,-0.007272
201,185.0,0.007015
201,186.0,0.01563
201,187.0,0.01546
201,188.0,0.006974
201,189.0,-0.006231
201,190.0,-0.019448
201,191.0,-0.029123
201,192.0,-0.034014
201,193.0,-0.034878
201,194.0,-0.033377
201,195.0,-0.031243
201,196.0,-0.030164
201,197.0,-0.031885
201,198.0,-0.037712
201,199.0,-0.047405
232,-100.0,0.033535
232,-99.0,0.066046
232,-98.0,0.076982
232,-97.0,0.062392
232,-96.0,0.032525
232,-95.0,0.004848
232,-94.0,-0.007859
232,-93.0,-0.004127
232,-92.0,0.008682
232,-91.0,0.021256
232,-90.0,0.027499
232,-89.0,0.025952
232,-88.0,0.018673
232,-87.0,0.009293
232,-86.0,0.001147
232,-85.0,-0.004099
232,-84.0,-0.006889
232,-83.0,-0.009038
232,-82.0,-0.012254
232,-81.0,-0.016889
232,-80.0,-0.021702
232,-79.0,-0.02473
232,-78.0,-0.024649
232,-77.0,-0.021681
232,-76.0,-0.017436
232,-75.0,-0.013876
232,-74.0,-0.01219
232,-73.0,-0.012329
232,-72.0,-0.013384
232,-71.0,-0.014372
232,-70.0,-0.014769
232,-69.0,-0.014487
232,-68.0,-0.013512
232,-67.0,-0.011678
232,-66.0,-0.008865
232,-65.0,-0.005424
232,-64.0,-0.002339
232,-63.0,-0.000817
232,-62.0,-0.001494
232,-61.0,-0.003885
232,-60.0,-0.006526
232,-59.0,-0.007802
232,-58.0,-0.006915
232,-57.0,-0.004324
232,-56.0,-0.001341
232,-55.0,0.000867
232,-54.0,0.002105
232,-53.0,0.003119
232,-52.0,0.004695
232,-51.0,0.006807
232,-50.0,0.008746
232,-49.0,0.010032
232,-48.0,0.01093
232,-47.0,0.011883
232,-46.0,0.012654
232,-45.0,0.012341
232,-44.0,0.010228
232,-43.0,0.006462
232,-42.0,0.001967
232,-41.0,-0.002
232,-40.0,-0.004207
232,-39.0,-0.003912
232,-38.0,-0.001531
232,-37.0,0.001147
232,-36.0,0.001893
232,-35.0,-0.000474
232,-34.0,-0.005377
232,-33.0,-0.011092
232,-32.0,-0.015904
232,-31.0,-0.018841
232,-30.0,-0.019659
232,-29.0,-0.018471
232,-28.0,-0.015525
232,-27.0,-0.011274
232,-26.0,-0.006576
232,-25.0,-0.002678
232,-24.0,-0.00076
232,-23.0,-0.001223
232,-22.0,-0.003295
232,-21.0,-0.005357
232,-20.0,-0.0058
232,-19.0,-0.003883
232,-18.0,-0.000172
232,-17.0,0.003675
232,-16.0,0.005702
232,-15.0,0.004835
232,-14.0,0.002044
232,-13.0,0.000842
232,-12.0,0.005971
232,-11.0,0.019428
232,-10.0,0.035674
232,-9.0,0.041967
232,-8.0,0.028129
232,-7.0,-0.001784
232,-6.0,-0.030242
232,-5.0,-0.040121
232,-4.0,-0.026179
232,-3.0,0.005647
232,-2.0,0.044565
232,-1.0,0.077723
232,0.0,0.091262
232,1.0,0.076979
232,2.0,0.041348
232,3.0,0.003939
232,4.0,-0.016721
232,5.0,-0.01552
232,6.0,-0.000442
232,7.0,0.016349
232,8.0,0.026413
232,9.0,0.027477
232,10.0,0.021797
232,11.0,0.013329
232,12.0,0.005476
232,13.0,-0.000112
232,14.0,-0.003661
232,15.0,-0.006541
232,16.0,-0.010133
232,17.0,-0.014871
232,18.0,-0.019931
232,19.0,-0.023693
