animal_id,time_s,mv
117,1.232,0.451829
117,1.233,0.445772
117,1.234,0.451958
117,1.235,0.475824
117,1.236,0.517288
117,1.237,0.570178
117,1.238,0.624539
117,1.239,0.670245
117,1.24,0.69973
117,1.241,0.708947
117,1.242,0.697256
117,1.243,0.667237
117,1.244,0.624571
117,1.245,0.577199
117,1.246,0.53327
117,1.247,0.498627
117,1.248,0.475264
117,1.249,0.461855
117,1.25,0.455924
117,1.251,0.455807
117,1.252,0.461501
117,1.253,0.47502
117,1.254,0.499835
117,1.255,0.538335
117,1.256,0.588522
117,1.257,0.642955
117,1.258,0.691459
117,1.259,0.725803
117,1.26,0.742319
117,1.261,0.740682
117,1.262,0.721613
117,1.263,0.686497
117,1.264,0.638329
117,1.265,0.582183
117,1.266,0.525132
117,1.267,0.476739
117,1.268,0.449551
117,1.269,0.457443
117,1.27,0.510483
117,1.271,0.607365
117,1.272,0.728973
117,1.273,0.839444
117,1.274,0.900888
117,1.275,0.896436
117,1.276,0.842118
117,1.277,0.774811
117,1.278,0.726924
117,1.279,0.708994
117,1.28,0.710084
117,1.281,0.710211
117,1.282,0.693542
117,1.283,0.655047
117,1.284,0.599958
117,1.285,0.539375
117,1.286,0.48528
117,1.287,0.446522
117,1.288,0.426397
117,1.289,0.422446
117,1.29,0.428458
117,1.291,0.437677
117,1.292,0.446223
117,1.293,0.45535
117,1.294,0.470382
117,1.295,0.49634
117,1.296,0.533566
117,1.297,0.576361
117,1.298,0.615273
117,1.299,0.641379
117,1.3,0.649152
117,1.301,0.636483
117,1.302,0.604085
117,1.303,0.555851
117,1.304,0.498722
117,1.305,0.440968
117,1.306,0.390133
117,1.307,0.351948
117,1.308,0.33004
117,1.309,0.325934
117,1.31,0.339042
117,1.311,0.366691
117,1.312,0.40495
117,1.313,0.450408
117,1.314,0.501189
117,1.315,0.555693
117,1.316,0.610465
117,1.317,0.660822
117,1.318,0.705973
117,1.319,0.754802
117,1.32,0.825084
117,1.321,0.933836
117,1.322,1.08624
117,1.323,1.27225
117,1.324,1.470638
117,1.325,1.654953
117,1.326,1.799497
117,1.327,1.884755
117,1.328,1.90032
117,1.329,1.845075
117,1.33,1.725345
117,1.331,1.551988
117,1.332,1.339298
117,1.333,1.106392
117,1.334,0.876943
117,1.335,0.675443
117,1.336,0.523197
117,1.337,0.435865
117,1.338,0.421459
117,1.339,0.478863
117,1.34,0.597837
117,1.341,0.761192
117,1.342,0.949457
117,1.343,1.145164
117,1.344,1.333112
117,1.345,1.498731
117,1.346,1.628381
117,1.347,1.710623
117,1.348,1.736899
117,1.349,1.702504
117,1.35,1.607888
117,1.351,1.459534
117,1.352,1.270587
117,1.353,1.060186
117,1.354,0.850569
117,1.355,0.664244
117,1.356,0.522422
117,1.357,0.442196
117,1.358,0.431822
117,1.359,0.487626
117,1.36,0.595889
117,1.361,0.73914
117,1.362,0.901974
117,1.363,1.0718
117,1.364,1.23582
117,1.365,1.379857
117,1.366,1.490809
117,1.367,1.558934
117,1.368,1.578029
117,1.369,1.545183
117,1.37,1.46119
117,1.371,1.331593
117,1.372,1.167764
117,1.373,0.986224
117,1.374,0.80622
117,1.375,0.647726
117,1.376,0.529596
117,1.377,0.466018
117,1.378,0.462714
117,1.379,0.515805
117,1.38,0.614026
117,1.381,0.74315
117,1.382,0.889608
117,1.383,1.040948
117,1.384,1.184885
117,1.385,1.309358
117,1.386,1.402872
117,1.387,1.454798
117,1.388,1.457457
117,1.389,1.409997
117,1.39,1.321846
117,1.391,1.213688
117,1.392,1.113684
117,1.393,1.047831
117,1.394,1.027207
117,1.395,1.038401
117,1.396,1.047103
117,1.397,1.020537
117,1.398,0.954272
117,1.399,0.877677
117,1.4,0.832694
117,1.401,0.846808
117,1.402,0.920669
117,1.403,1.033071
117,1.404,1.154829
117,1.405,1.261571
117,1.406,1.338761
117,1.407,1.379953
117,1.408,1.383387
117,1.409,1.349443
117,1.41,1.279676
117,1.411,1.177692
117,1.412,1.050042
117,1.413,0.906028
117,1.414,0.758016
117,1.415,0.621998
117,1.416,0.515409
117,1.417,0.452198
117,1.418,0.438389
117,1.419,0.470528
117,1.42,0.538124
117,1.421,0.628704
117,1.422,0.731206
117,1.423,0.836331
117,1.424,0.936223
117,1.425,1.023846
117,1.426,1.091623
117,1.427,1.131646
117,1.428,1.138375
117,1.429,1.111011
117,1.43,1.053341
117,1.431,0.971337
117,1.432,0.870445
117,1.433,0.755753
117,1.434,0.635501
117,1.435,0.522923
117,1.436,0.43303
117,1.437,0.377713
117,1.438,0.363074
117,1.439,0.388701
117,1.44,0.448268
117,1.441,0.531543
117,1.442,0.626843
117,1.443,0.723416
117,1.444,0.813265
117,1.445,0.890644
117,1.446,0.949982
117,1.447,0.985631
117,1.448,0.993758
117,1.449,0.973644
117,1.45,0.927417
117,1.451,0.858822
117,1.452,0.771965
117,1.453,0.671851
117,1.454,0.566513
117,1.455,0.467549
117,1.456,0.387921
117,1.457,0.339079
117,1.458,0.328027
117,1.459,0.354435
117,1.46,0.410264
117,1.461,0.48313
117,1.462,0.561149
117,1.463,0.636602
117,1.464,0.706346
117,1.465,0.768724
117,1.466,0.820543
117,1.467,0.857229
117,1.468,0.874537
117,1.469,0.869507
117,1.47,0.840971
117,1.471,0.789893
117,1.472,0.719341
117,1.473,0.634771
117,1.474,0.544167
117,1.475,0.456851
117,1.476,0.382285
117,1.477,0.32977
117,1.478,0.306969
117,1.479,0.316793
117,1.48,0.355592
117,1.481,0.41442
117,1.482,0.482654
